,score,fold,task,best_epoch,batch_size
59,0.7096774193548387,4,./tasks_O_z-score/O_z-score_train_SKCM_stage.h5,22,32
60,0.6329545454545454,0,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,5,32
61,0.6169590643274854,1,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,17,32
62,0.49127906976744184,2,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,22,32
63,0.6186046511627907,3,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,5,32
64,0.671345029239766,4,./tasks_O_z-score/O_z-score_train_STAD_stage.h5,25,32
65,0.7794736842105263,0,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,34,32
66,0.7845070422535212,1,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,40,32
67,0.7346711259754738,2,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,40,32
68,0.7654320987654322,3,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,32,32
69,0.7528631705846895,4,./tasks_O_z-score/O_z-score_test_HNSC_grade.h5,29,32
70,0.75,0,./tasks_O_z-score/O_z-score_train_CESC_grade.h5,27,32
71,0.6149870801033592,1,./tasks_O_z-score/O_z-score_train_CESC_grade.h5,41,32
72,0.6681922196796339,2,./tasks_O_z-score/O_z-score_train_CESC_grade.h5,35,32
73,0.6548780487804878,3,./tasks_O_z-score/O_z-score_train_CESC_grade.h5,47,32
74,0.724025974025974,4,./tasks_O_z-score/O_z-score_train_CESC_grade.h5,43,32
75,0.6709677419354839,0,./tasks_O_z-score/O_z-score_train_PAAD_grade.h5,46,32
76,0.6655518394648829,1,./tasks_O_z-score/O_z-score_train_PAAD_grade.h5,42,32
77,0.6945454545454545,2,./tasks_O_z-score/O_z-score_train_PAAD_grade.h5,35,32
78,0.5467980295566502,3,./tasks_O_z-score/O_z-score_train_PAAD_grade.h5,44,32
79,0.5652173913043479,4,./tasks_O_z-score/O_z-score_train_PAAD_grade.h5,31,32
80,0.7600281491907108,0,./tasks_O_z-score/O_z-score_train_LGG_grade.h5,50,32
81,0.7798742138364779,1,./tasks_O_z-score/O_z-score_train_LGG_grade.h5,30,32
82,0.6762820512820512,2,./tasks_O_z-score/O_z-score_train_LGG_grade.h5,31,32
83,0.8162393162393162,3,./tasks_O_z-score/O_z-score_train_LGG_grade.h5,33,32
84,0.7971479500891265,4,./tasks_O_z-score/O_z-score_train_LGG_grade.h5,41,32
85,0.6752933057280883,0,./tasks_O_z-score/O_z-score_train_LUAD_stage.h5,10,32
86,0.5814354727398205,1,./tasks_O_z-score/O_z-score_train_LUAD_stage.h5,17,32
87,0.6285315660969655,2,./tasks_O_z-score/O_z-score_train_LUAD_stage.h5,22,32
88,0.7298059964726631,3,./tasks_O_z-score/O_z-score_train_LUAD_stage.h5,7,32
89,0.6603708791208791,4,./tasks_O_z-score/O_z-score_train_LUAD_stage.h5,11,32
