,ROC-AUC,fold,seed
0,0.8846153846153846,0,8
1,0.9423076923076923,1,8
2,0.9615384615384616,2,8
3,0.903846153846154,3,8
4,0.75,4,8
5,0.75,5,8
6,0.8269230769230769,6,8
7,0.8958333333333333,7,8
8,0.75,8,8
9,0.7708333333333333,9,8
10,0.576923076923077,0,16
11,1.0,1,16
12,0.9615384615384616,2,16
13,0.9615384615384616,3,16
14,0.4423076923076923,4,16
15,0.6538461538461537,5,16
16,0.9615384615384616,6,16
17,0.9375,7,16
18,1.0,8,16
19,0.8958333333333333,9,16
20,0.5384615384615384,0,32
21,0.9423076923076923,1,32
22,0.8076923076923077,2,32
23,0.903846153846154,3,32
24,0.8846153846153846,4,32
25,0.7692307692307692,5,32
26,0.6153846153846154,6,32
27,0.75,7,32
28,1.0,8,32
29,0.9166666666666667,9,32
30,0.8076923076923077,0,64
31,0.6346153846153846,1,64
32,0.6153846153846154,2,64
33,0.7115384615384616,3,64
34,0.6923076923076923,4,64
35,0.8076923076923077,5,64
36,1.0,6,64
37,1.0,7,64
38,0.9166666666666667,8,64
39,0.9791666666666666,9,64
40,0.9423076923076924,0,128
41,1.0,1,128
42,0.6153846153846153,2,128
43,0.7307692307692308,3,128
44,1.0,4,128
45,0.5961538461538463,5,128
46,0.7307692307692307,6,128
47,0.9583333333333334,7,128
48,0.8125,8,128
49,0.8958333333333333,9,128
