,0
ACC,0.9746835443037974
BLCA,0.9625292740046838
BRCA,0.9942244224422442
CESC,0.9288025889967637
CHOL,0.6888888888888889
COAD,0.8932926829268293
DLBC,1.0
ESCA,0.8673469387755102
GBM,0.9883040935672515
HNSC,0.9929328621908127
KICH,0.9230769230769231
KIRC,0.9620462046204621
KIRP,0.9287925696594427
LAML,1.0
LGG,0.9962264150943396
LIHC,0.9739952718676123
LUAD,0.9444444444444444
LUSC,0.9293478260869565
MESO,0.9655172413793104
OV,0.996742671009772
PAAD,0.9781420765027322
PCPG,0.9946524064171123
PRAD,1.0
READ,0.45714285714285713
SARC,0.9886792452830189
SKCM,0.9830866807610994
STAD,0.9555555555555556
TGCT,0.9871794871794872
THCA,1.0
THYM,0.9836065573770492
UCEC,0.945273631840796
UCS,0.7894736842105263
UVM,0.9875
