,0
ACC,0.9620253164556962
BLCA,0.9437939110070258
BRCA,0.995049504950495
CESC,0.9093851132686084
CHOL,0.6
COAD,0.8780487804878049
DLBC,0.9583333333333334
ESCA,0.8418367346938775
GBM,0.9824561403508771
HNSC,0.9893992932862191
KICH,0.9120879120879121
KIRC,0.9554455445544554
KIRP,0.9287925696594427
LAML,1.0
LGG,0.9943396226415094
LIHC,0.9645390070921985
LUAD,0.9409722222222222
LUSC,0.9221014492753623
MESO,0.9540229885057471
OV,0.996742671009772
PAAD,0.9672131147540983
PCPG,0.9893048128342246
PRAD,0.9981818181818182
READ,0.4095238095238095
SARC,0.9811320754716981
SKCM,0.9767441860465116
STAD,0.92
TGCT,0.9871794871794872
THCA,1.0
THYM,0.9918032786885246
UCEC,0.9353233830845771
UCS,0.7894736842105263
UVM,0.975
