,ROC-AUC,fold,seed
0,0.8205128205128205,0,8
1,0.8615384615384616,1,8
2,1.0,2,8
3,0.9384615384615385,3,8
4,0.9846153846153847,4,8
5,1.0,5,8
6,0.9692307692307692,6,8
7,0.9444444444444444,7,8
8,0.8055555555555556,8,8
9,0.8333333333333333,9,8
10,0.9358974358974359,0,16
11,0.9076923076923077,1,16
12,0.8461538461538463,2,16
13,0.9076923076923076,3,16
14,1.0,4,16
15,0.8769230769230769,5,16
16,0.8307692307692307,6,16
17,1.0,7,16
18,0.9722222222222223,8,16
19,0.9583333333333334,9,16
20,0.9102564102564102,0,32
21,0.9692307692307692,1,32
22,0.9846153846153847,2,32
23,0.8615384615384616,3,32
24,0.8615384615384616,4,32
25,0.8615384615384616,5,32
26,0.8615384615384616,6,32
27,0.9166666666666667,7,32
28,0.9027777777777778,8,32
29,1.0,9,32
30,0.8333333333333333,0,64
31,0.9846153846153847,1,64
32,0.8461538461538461,2,64
33,0.9692307692307692,3,64
34,0.9538461538461539,4,64
35,0.9692307692307692,5,64
36,0.8307692307692307,6,64
37,0.9027777777777778,7,64
38,0.9722222222222223,8,64
39,0.8333333333333334,9,64
40,0.8846153846153846,0,128
41,0.8615384615384616,1,128
42,0.9384615384615385,2,128
43,1.0,3,128
44,1.0,4,128
45,0.9384615384615385,5,128
46,1.0,6,128
47,0.8472222222222222,7,128
48,0.7916666666666667,8,128
49,0.9166666666666667,9,128
