,repeat_seed,accuracy,prc_auc,roc_auc,sensitivity,specificity,precision,recall,F1
0,8,0.8502994011976048,0.6945616076343618,0.7777559055118111,0.45,0.9763779527559056,0.8571428571428571,0.45,0.5901639344262294
1,16,0.8502994011976048,0.6744649928291468,0.7688976377952756,0.45,0.9763779527559056,0.8571428571428571,0.45,0.5901639344262294
2,32,0.8383233532934131,0.660778484405662,0.7696850393700787,0.4,0.9763779527559056,0.8421052631578947,0.4,0.5423728813559322
3,64,0.8502994011976048,0.6873034029779903,0.7812992125984253,0.45,0.9763779527559056,0.8571428571428571,0.45,0.5901639344262294
4,128,0.8502994011976048,0.6638962285899507,0.7679133858267716,0.425,0.984251968503937,0.8947368421052632,0.425,0.576271186440678
