,repeat_seed,accuracy,prc_auc,roc_auc,sensitivity,specificity,precision,recall,F1
0,8,0.826530612244898,0.8343325111241626,0.8530183727034121,0.5942028985507246,0.952755905511811,0.8723404255319149,0.5942028985507246,0.7068965517241379
1,16,0.8367346938775511,0.834964910153214,0.8598653429190917,0.6086956521739131,0.9606299212598425,0.8936170212765957,0.6086956521739131,0.7241379310344828
2,32,0.8061224489795918,0.8129092694228733,0.8436608467419834,0.5362318840579711,0.952755905511811,0.8604651162790697,0.5362318840579711,0.6607142857142858
3,64,0.8163265306122449,0.8390823392782913,0.8560995093004679,0.6086956521739131,0.9291338582677166,0.8235294117647058,0.6086956521739131,0.7
4,128,0.826530612244898,0.8240984058069296,0.8509642816387082,0.5797101449275363,0.9606299212598425,0.8888888888888888,0.5797101449275363,0.7017543859649122
