,loss,accuracy,val_loss,val_accuracy
0,0.25863154371800245,0.9212407469749451,0.08086669354637464,0.9748333096504211
1,0.05464446695038566,0.9825184941291809,0.05970110153158506,0.9826666712760925
2,0.03437014949842598,0.9895370602607727,0.04508286862572034,0.9869999885559082
3,0.028172499645294415,0.991185188293457,0.03587423464159171,0.9894999861717224
4,0.022061541619814103,0.9930185079574585,0.05452392015357812,0.984333336353302
5,0.021795715021486913,0.9930185079574585,0.03956387726062288,0.9896666407585144
6,0.01580086961450676,0.9952037334442139,0.03275512377669414,0.9918333292007446
7,0.015521251732052339,0.9947777986526489,0.049554693500200905,0.9865000247955322
8,0.014155597420461062,0.9955925941467285,0.0372215556781739,0.9911666512489319
9,0.013385437995574817,0.995629608631134,0.04618380173047384,0.9884999990463257
10,0.009417684689767798,0.9967036843299866,0.05291698785622915,0.9856666922569275
11,0.008208364106326674,0.9973333477973938,0.040722041646949945,0.9918333292007446
12,0.009332279638676146,0.9966852068901062,0.05166188266562919,0.9891666769981384
13,0.00924531856432764,0.9969629645347595,0.039897654049874595,0.9915000200271606
14,0.00817286888115039,0.9973148107528687,0.04686868581796686,0.9908333420753479
15,0.005301697179022961,0.9982407689094543,0.05120942907004307,0.9903333187103271
16,0.007177510580655912,0.9977592825889587,0.05497200538342198,0.9898333549499512
17,0.005318412017107389,0.998462975025177,0.04321759758237749,0.9913333058357239
18,0.006479276034856513,0.9978703856468201,0.05660548523937663,0.9894999861717224
19,0.00904738873572313,0.9966852068901062,0.05006694062550863,0.9915000200271606
20,0.004461364295745389,0.9983888864517212,0.055992271075335644,0.9893333315849304
21,0.005419228888810688,0.9980925917625427,0.04493529097937669,0.9921666383743286
22,0.003986109877254758,0.9986481666564941,0.05676395910091621,0.9900000095367432
23,0.007218406553120952,0.9977962970733643,0.05394404687856635,0.9883333444595337
24,0.004265119676856018,0.9987221956253052,0.053537619504146275,0.9909999966621399
25,0.004671455758333549,0.9986110925674438,0.05844549480297913,0.9894999861717224
26,0.0019032559646675509,0.9993703961372375,0.05043873090293103,0.9923333525657654
27,0.004385826371746117,0.9988333582878113,0.05863695491058752,0.9900000095367432
28,0.006534782681135564,0.9979814887046814,0.05752141257856662,0.9891666769981384
29,0.004214361783927112,0.9986851811408997,0.05287708960702488,0.9904999732971191
30,0.0046390362525811114,0.9983888864517212,0.058531563482712955,0.9896666407585144
31,0.001961344883036805,0.9993518590927124,0.07060541077163847,0.9884999990463257
32,0.0046919603899285124,0.9985926151275635,0.057838111279687535,0.9918333292007446
33,0.004004678644617309,0.9989814758300781,0.0571095124403558,0.9903333187103271
34,0.0014438606820564625,0.9994629621505737,0.05018914500558943,0.9921666383743286
35,0.00177852997420889,0.9993703961372375,0.06651668801127622,0.9901666641235352
36,0.005318512148760352,0.9982777833938599,0.07580703796446324,0.9883333444595337
37,0.005152385464258529,0.9984259009361267,0.04870510316717749,0.9913333058357239
38,0.0014025495456554146,0.9995370507240295,0.0579571737695854,0.9913333058357239
39,0.0018199056119188014,0.9995370507240295,0.06979218048718758,0.9894999861717224
40,0.00423641815653827,0.9986851811408997,0.051142243485044064,0.9919999837875366
41,0.002717289047451021,0.9991852045059204,0.058867931210125485,0.9916666746139526
42,0.0014952070697650352,0.9996296167373657,0.06518928716618878,0.9884999990463257
43,0.005253233045767451,0.9984259009361267,0.04851591195984899,0.9928333163261414
44,0.0019597606824667715,0.9994999766349792,0.05492749163186333,0.9928333163261414
45,0.00246997855262129,0.9994074106216431,0.0610215216971313,0.9903333187103271
46,0.003257563201329672,0.9990741014480591,0.06752245239075273,0.9911666512489319
47,0.0036280218308943697,0.9990000128746033,0.05088959487517908,0.9923333525657654
48,0.0018096054043679503,0.9995185136795044,0.062285731389109665,0.9916666746139526
49,0.003625725966818891,0.9987592697143555,0.05974595246925795,0.9918333292007446
