,loss,accuracy,val_loss,val_accuracy
0,1.2921348888962356,0.5542407631874084,0.8350064702033997,0.6859999895095825
1,0.7232698949619576,0.7416852116584778,0.6255940497716268,0.7706666588783264
2,0.6123387216638636,0.7773148417472839,0.5681543062527974,0.7914999723434448
3,0.5525144218162255,0.8018703460693359,0.5059554209709167,0.8165000081062317
4,0.5096736147845233,0.8180000185966492,0.4895860897699992,0.8270000219345093
5,0.47786467728791415,0.8295184969902039,0.46632343713442487,0.8299999833106995
6,0.45398342970565514,0.8384259343147278,0.4383583273092906,0.8443333506584167
7,0.435719533779003,0.8440740704536438,0.4271944742997487,0.8464999794960022
8,0.41561468060811363,0.852314829826355,0.41049205962816876,0.846666693687439
9,0.3988077212439643,0.8585000038146973,0.4018271721204122,0.8565000295639038
10,0.3854048403898875,0.8618703484535217,0.38353888551394144,0.862500011920929
11,0.3726182255215115,0.8668518662452698,0.3678123010794322,0.8698333501815796
12,0.35884999954258956,0.8711110949516296,0.36641156593958535,0.8679999709129333
13,0.3489137043952942,0.8744999766349792,0.34583044703801474,0.8711666464805603
14,0.3381789151121069,0.8787222504615784,0.3731445906162262,0.8619999885559082
15,0.3289519728113104,0.8819814920425415,0.34120706558227537,0.8756666779518127
16,0.3176760330023589,0.8844629526138306,0.3328954118092855,0.8756666779518127
17,0.310914184000757,0.8864444494247437,0.3336535554726919,0.878166675567627
18,0.30189109366469913,0.8901666402816772,0.33203488063812253,0.8809999823570251
19,0.2940523380085274,0.8932777643203735,0.33506832631429034,0.8786666393280029
20,0.28456119426974547,0.8960370421409607,0.3180695118109385,0.8845000267028809
21,0.2769318849819678,0.8984629511833191,0.31417337306340537,0.8878333568572998
22,0.2712056809266408,0.9002222418785095,0.3088395181496938,0.8883333206176758
23,0.26527265016237894,0.9035370349884033,0.31095003469785054,0.8884999752044678
24,0.2564891220728556,0.9066666960716248,0.31258461650212604,0.8868333101272583
25,0.25002784083728435,0.9083703756332397,0.3152406610647837,0.8840000033378601
