,test_country,accuracy,prc_auc,roc_auc,sensitivity,specificity,precision,recall
0,AUS,0.8440366972477065,0.9174405987154708,0.9206349206349206,0.7391304347826086,0.9206349206349206,0.8717948717948718,0.7391304347826086
1,CHI,0.765625,0.8865288222810688,0.8517267267267267,0.7297297297297297,0.8148148148148148,0.84375,0.7297297297297297
2,FRA,0.7105263157894737,0.8531040821777914,0.8388493659140117,0.7924528301886793,0.639344262295082,0.65625,0.7924528301886793
3,GER,0.85,0.92243011440276,0.9102777777777779,0.7666666666666667,0.9333333333333333,0.92,0.7666666666666667
4,USA,0.6826923076923077,0.7865323900637471,0.7267011834319527,0.5576923076923077,0.8076923076923077,0.7435897435897436,0.5576923076923077
