train_country,AUS,CHN,DEU,FRA,USA
AUS,1.0,0.6504004004004005,0.7388888888888889,0.6823383854005568,0.6697485207100592
CHN,0.8792270531400966,1.0,0.8383333333333334,0.748221466130529,0.6224112426035503
DEU,0.7318840579710144,0.8131881881881882,1.0,0.774822146613053,0.7422337278106509
FRA,0.8226363008971703,0.8501001001001001,0.8266666666666665,1.0,0.7144970414201183
USA,0.8102139406487233,0.7937937937937939,0.8377777777777777,0.7336838849365914,1.0
