,0
ACC,0.9746835443037974
BLCA,0.9437939110070258
BRCA,0.9942244224422442
CESC,0.9093851132686084
CHOL,0.5777777777777777
COAD,0.8841463414634146
DLBC,0.9791666666666666
ESCA,0.826530612244898
GBM,0.9824561403508771
HNSC,0.9964664310954063
KICH,0.8791208791208791
KIRC,0.9554455445544554
KIRP,0.9226006191950464
LAML,1.0
LGG,0.9905660377358491
LIHC,0.9692671394799054
LUAD,0.9357638888888888
LUSC,0.9148550724637681
MESO,0.9540229885057471
OV,0.996742671009772
PAAD,0.9562841530054644
PCPG,0.9893048128342246
PRAD,0.9981818181818182
READ,0.41904761904761906
SARC,0.9811320754716981
SKCM,0.985200845665962
STAD,0.9288888888888889
TGCT,0.9743589743589743
THCA,0.9982394366197183
THYM,0.9754098360655737
UCEC,0.9303482587064676
UCS,0.8245614035087719
UVM,0.975
