,train_country,test_country,accuracy,prc_auc,roc_auc,sensitivity,specificity,precision,recall
0,AUS,AUS,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
1,AUS,CHI,0.65625,0.7881831822223262,0.7012012012012011,0.6351351351351351,0.6851851851851852,0.734375,0.6351351351351351
2,AUS,FRA,0.6403508771929824,0.7122883084561179,0.7250231982678628,0.6415094339622641,0.639344262295082,0.6071428571428571,0.6415094339622641
3,AUS,GER,0.75,0.8545163463376056,0.8272222222222222,0.7333333333333333,0.7666666666666667,0.7586206896551724,0.7333333333333333
4,AUS,USA,0.7115384615384616,0.7942207183866747,0.7629437869822485,0.75,0.6730769230769231,0.6964285714285714,0.75
5,CHI,AUS,0.6605504587155964,0.7396715717372789,0.7605244996549345,0.717391304347826,0.6190476190476191,0.5789473684210527,0.717391304347826
6,CHI,CHI,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,CHI,FRA,0.6666666666666666,0.7441536447550741,0.7621404268481287,0.7169811320754716,0.6229508196721312,0.6229508196721312,0.7169811320754716
8,CHI,GER,0.7833333333333333,0.8526793458906344,0.8655555555555555,0.7,0.8666666666666667,0.84,0.7
9,CHI,USA,0.6826923076923077,0.715291234777356,0.7307692307692307,0.75,0.6153846153846154,0.6610169491525424,0.75
10,FRA,AUS,0.7155963302752294,0.8123227474145102,0.8454106280193235,0.3695652173913043,0.9682539682539683,0.8947368421052632,0.3695652173913043
11,FRA,CHI,0.703125,0.8417681922473029,0.8163163163163162,0.6216216216216216,0.8148148148148148,0.8214285714285714,0.6216216216216216
12,FRA,FRA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,FRA,GER,0.6833333333333333,0.8311931850477581,0.8325,0.5,0.8666666666666667,0.7894736842105263,0.5
14,FRA,USA,0.5961538461538461,0.6642499705192458,0.7034023668639053,0.40384615384615385,0.7884615384615384,0.65625,0.40384615384615385
15,GER,AUS,0.6146788990825688,0.7513011965094295,0.7650103519668737,0.782608695652174,0.49206349206349204,0.5294117647058824,0.782608695652174
16,GER,CHI,0.7109375,0.8296338712211443,0.8115615615615617,0.8648648648648649,0.5,0.7032967032967034,0.8648648648648649
17,GER,FRA,0.6491228070175439,0.7376319681165073,0.7485307763686978,0.7924528301886793,0.5245901639344263,0.5915492957746479,0.7924528301886793
18,GER,GER,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,GER,USA,0.6538461538461539,0.7594992101801057,0.7614644970414202,0.7692307692307693,0.5384615384615384,0.625,0.7692307692307693
20,USA,AUS,0.7431192660550459,0.7738260235880209,0.797446514837819,0.6956521739130435,0.7777777777777778,0.6956521739130435,0.6956521739130435
21,USA,CHI,0.671875,0.7815152486210416,0.7192192192192192,0.7162162162162162,0.6111111111111112,0.7162162162162162,0.7162162162162162
22,USA,FRA,0.631578947368421,0.6230976120236302,0.6579028765852151,0.6226415094339622,0.639344262295082,0.6,0.6226415094339622
23,USA,GER,0.7333333333333333,0.7742250042135067,0.8097222222222222,0.6666666666666666,0.8,0.7692307692307693,0.6666666666666666
24,USA,USA,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
