,0
ACC,0.9746835443037974
BLCA,0.955503512880562
BRCA,0.9958745874587459
CESC,0.9288025889967637
CHOL,0.7111111111111111
COAD,0.8963414634146342
DLBC,1.0
ESCA,0.8673469387755102
GBM,0.9883040935672515
HNSC,0.9982332155477032
KICH,0.9120879120879121
KIRC,0.966996699669967
KIRP,0.9318885448916409
LAML,1.0
LGG,0.9943396226415094
LIHC,0.9810874704491725
LUAD,0.9479166666666666
LUSC,0.9184782608695652
MESO,0.9655172413793104
OV,0.996742671009772
PAAD,0.9726775956284153
PCPG,0.9946524064171123
PRAD,1.0
READ,0.4666666666666667
SARC,0.9849056603773585
SKCM,0.9830866807610994
STAD,0.9577777777777777
TGCT,1.0
THCA,1.0
THYM,0.9836065573770492
UCEC,0.9552238805970149
UCS,0.8245614035087719
UVM,0.975
