class,count
01_ACC,79
02_BLCA,427
03_BRCA,1212
04_CESC,309
05_CHOL,45
06_COAD,328
07_DLBC,48
08_ESCA,196
09_GBM,171
10_HNSC,566
11_KICH,91
12_KIRC,606
13_KIRP,323
14_LAML,173
15_LGG,530
16_LIHC,423
17_LUAD,576
18_LUSC,552
19_MESO,87
20_OV,307
21_PAAD,183
22_PCPG,187
23_PRAD,550
24_READ,105
25_SARC,265
26_SKCM,473
27_STAD,450
28_TGCT,156
29_THCA,568
30_THYM,122
31_UCEC,201
32_UCS,57
33_UVM,80
